% Model:              Анатомическая модель_RPG4.mph
% Version:            COMSOL 6.2.0.339
% Date:               Mar 11 2025, 13:48
% Table:              Table 1 - Point Evaluation 1
% ro_skin (Ω*m)          ro_scull (Ω*m)           ro_brain (Ω*m)           Electric potential (V), Point: 1
2.5                      235                      1                        35.303651735477956
3                        235                      1                        37.297430820118336
3.5                      235                      1                        38.586930480625384
4                        235                      1                        39.353763660877405
4.5                      235                      1                        39.73079130982376
5                        235                      1                        39.811409865571505
1                        240                      1                        22.032061419521355
1.5                      240                      1                        28.308898356262652
2                        240                      1                        32.701822781734435
2.5                      240                      1                        35.75410132902476
3                        240                      1                        37.83543382251699
3.5                      240                      1                        39.20048104438956
4                        240                      1                        40.03230369410065
4.5                      240                      1                        40.46410417610659
5                        240                      1                        40.59320238712951
1                        245                      1                        22.167287061789317
1.5                      245                      1                        28.55000913463204
2                        245                      1                        33.04773277242782
2.5                      245                      1                        36.19632091285166
3                        245                      1                        38.364059085106064
3.5                      245                      1                        39.80609052340252
4                        245                      1                        40.70592452997161
4.5                      245                      1                        41.189337567311384
5                        245                      1                        41.36754949605
1                        250                      1                        22.299338691961765
1.5                      250                      1                        28.784906286392655
2                        250                      1                        33.38546397418247
2.5                      250                      1                        36.630722371113734
3                        250                      1                        38.884305190147316
3.5                      250                      1                        40.40042229451144
4                        250                      1                        41.362762203163584
4.5                      250                      1                        41.9055574578683
5                        250                      1                        42.1287634560521
1                        255                      1                        22.427283110328524
1.5                      255                      1                        29.01442185494396
2                        255                      1                        33.7159498717599
2.5                      255                      1                        37.055994774351205
3                        255                      1                        39.3937961249686
3.5                      255                      1                        40.9855390473068
4                        255                      1                        42.01437707820244
4.5                      255                      1                        42.613363488761735
5                        255                      1                        42.88440158202832
1                        260                      1                        22.551671259682195
1.5                      260                      1                        29.23816794419323
2                        260                      1                        34.04049951567926
2.5                      260                      1                        37.47263078688913
3                        260                      1                        39.89800706529948
3.5                      260                      1                        41.563480277630305
4                        260                      1                        42.65906612184361
4.5                      260                      1                        43.31251908738139
5                        260                      1                        43.634318388237176
1                        265                      1                        22.672929545928007
1.5                      265                      1                        29.45654721123813
2                        265                      1                        34.356082061630886
2.5                      265                      1                        37.882587213911194
3                        265                      1                        40.39020547311044
3.5                      265                      1                        42.13244815135005
4                        265                      1                        43.29224991370117
4.5                      265                      1                        44.00480425848451
5                        265                      1                        44.37320374364859
1                        270                      1                        22.790390015343917
1.5                      270                      1                        29.669727605684812
2                        270                      1                        34.665934674771194
2.5                      270                      1                        38.28391412360534
3                        270                      1                        40.87672654520428
3.5                      270                      1                        42.69235398860859
4                        270                      1                        43.91885002346203
4.5                      270                      1                        44.688143669811666
5                        270                      1                        45.10588886974651
1                        275                      1                        22.905116723129943
1.5                      275                      1                        29.87796914288616
2                        275                      1                        34.96932279219416
2.5                      275                      1                        38.677733447043025
3                        275                      1                        41.35248240179888
3.5                      275                      1                        43.24115833365232
4                        275                      1                        44.535236973961304
4.5                      275                      1                        45.362553954507945
5                        275                      1                        45.83089498155556
1                        280                      1                        23.01701460706601
1.5                      280                      1                        30.081191669294398
2                        280                      1                        35.26642398598811
2.5                      280                      1                        39.06354194807089
3                        280                      1                        41.82172753929214
3.5                      280                      1                        43.788362260237434
4                        280                      1                        45.144717736960274
4.5                      280                      1                        46.030090806665214
5                        280                      1                        46.54822657849758
1                        285                      1                        23.125844193232723
1.5                      285                      1                        30.279720889338265
2                        285                      1                        35.557454044389075
2.5                      285                      1                        39.44347150962216
3                        285                      1                        42.28325069720148
3.5                      285                      1                        44.32404801091825
4                        285                      1                        45.745879834832465
4.5                      285                      1                        46.68969396071
5                        285                      1                        47.257116399428355
1                        290                      1                        23.231950794693994
1.5                      290                      1                        30.474028881311597
2                        290                      1                        35.8419489758534
2.5                      290                      1                        39.816985602603964
3                        290                      1                        42.73551563561834
3.5                      290                      1                        44.848265030634124
4                        290                      1                        46.339062731784594
4.5                      290                      1                        47.33937458964124
5                        290                      1                        47.95974423932529
1                        295                      1                        23.335020162765602
1.5                      295                      1                        30.663514936993522
2                        295                      1                        36.12153863828654
2.5                      295                      1                        40.18236192165453
3                        295                      1                        43.18147516417376
3.5                      295                      1                        45.36881655770878
4                        295                      1                        46.924391398752164
4.5                      295                      1                        47.984093158302045
5                        295                      1                        48.65496960745321
1                        300                      1                        23.43611768278199
1.5                      300                      1                        30.850005793451146
2                        300                      1                        36.395264689979825
2.5                      300                      1                        40.54066846215481
3                        300                      1                        43.620887306457135
3.5                      300                      1                        45.8804335117193
4                        300                      1                        47.502016938964374
4.5                      300                      1                        48.618667990172185
5                        300                      1                        49.341749609294794
1                        305                      1                        23.533713176255382
1.5                      305                      1                        31.03071080383333
2                        305                      1                        36.66353506463568
2.5                      305                      1                        40.894187723741
3                        305                      1                        44.05350038748071
