% Model:              Моделирование_мозга_сфера - 3.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 24 2025, 15:59
% Table:              Table 5 - MN
% rho_brain (Ω*m)        rho_scull (Ω*m)          rho_skin (Ω*m)           V/1[A] (Ω), Point: 1     V/1[A] (Ω), Point: 1     V/1[A] (Ω), Point: 1
1                        155                      3                        212.9408235259922        118.63754121596207       197.07126588382232
1                        155                      3.5                      228.16428779890555       131.28079874008785       227.14910578912657
1                        155                      4                        241.23777004565724       142.74838944539306       256.59091670227014
1                        155                      4.5                      252.5737160311818        153.19250013555677       285.43231359503454
1                        155                      5                        262.4760928741574        162.73937324283781       313.7047687362152
1                        160                      1                        114.58703993283962       51.606989602712744       69.48897818977542
1                        160                      1.5                      148.80542030138764       71.86048781783984        102.69938010440117
1                        160                      2                        175.8302013799712        89.68635344365384        135.06034564468138
1                        160                      2.5                      197.91636965684756       105.56434309950541       166.64900322419928
1                        160                      3                        216.3859979730852        119.82837929262672       197.52459702038976
1                        160                      3.5                      232.08747386129465       132.7258356629244        227.73511415714455
1                        160                      4                        245.60250172526463       144.4466270064677        257.3212940643438
1                        160                      4.5                      257.3489861234494        155.14296537313223       286.31738855956746
1                        160                      5                        267.6339765570495        164.93880991604215       314.7543835812601
1                        165                      1                        115.6449818242876        51.84877781977049        69.5532786009803
1                        165                      1.5                      150.5018263446604        72.30368661337621        102.830731640065
1                        165                      2                        178.1243101367759        90.35306397859803        135.27648612525257
1                        165                      2.5                      200.7623635129825        106.46725872936926       166.96541251747823
1                        165                      3                        219.7411837595865        120.97435626756265       197.9549095754809
1                        165                      3.5                      235.9146840218189        134.11758306430386       228.29176434825166
1                        165                      4                        249.86614710701866       146.08474249246757       258.0153943341509
1                        165                      4.5                      262.0180691396607        157.0255956782555        287.1590578516328
1                        165                      5                        272.682656324183         167.06317392540188       315.7528386702826
1                        170                      1                        116.66574786659297       52.07988368919169        69.61422673907268
1                        170                      1.5                      152.14528174031108       72.72850446482062        102.95536533617772
1                        170                      2                        180.3522713811832        90.99314776376632        135.4818072023964
1                        170                      2.5                      203.53280844078324       107.33511903835543       167.26611549420937
1                        170                      3                        223.0127069637862        122.07732315619174       198.36426642500084
1                        170                      3.5                      239.64973311954805       135.45879065479298       228.82144264727765
1                        170                      4                        254.0327417841454        147.66561200704282       258.67595734671943
1                        170                      4.5                      266.5853900871019        158.84448716342465       287.96057192498824
1                        170                      5                        277.62440070292996       169.1172543962408        316.7037024710445
1                        175                      1                        117.65161547683675       52.30113527118919        69.67212942098477
1                        175                      1.5                      153.73880203422505       73.1359808772465         103.07382217837886
1                        175                      2                        182.51771687395615       91.6080831388325         135.67701717597149
1                        175                      2.5                      206.22950181675628       108.17054241651776       167.55226782658156
1                        175                      3                        226.20260842679124       123.14030936611087       198.75387201572192
1                        175                      3.5                      243.29672843761256       136.75253979003702       229.32588494501903
1                        175                      4                        258.10489028198924       149.19190824702088       259.3055393346639
1                        175                      4.5                      271.0548413182234        160.60275700782807       288.72446545671426
1                        175                      5                        282.46173033895286       171.10547229955137       317.6108991079832
1                        180                      1                        118.60417986527327       52.512954657193546       69.72718442267897
1                        180                      1.5                      155.28393578392564       73.52727202700449        103.18658904772448
1                        180                      2                        184.6228113471535        92.19958110388015        135.86297006497995
1                        180                      2.5                      208.85701301819137       108.9748205351606        167.82491685300488
1                        180                      3                        229.31496697852154       124.16440122128529       199.1253266539125
1                        180                      3.5                      246.85978111522473       138.00174477324887       229.80714393034586
1                        180                      4                        262.0882145687132        150.6662657515086        259.9062674935356
1                        180                      4.5                      275.4289351321853        162.30345925517219       289.45388295402836
1                        180                      5                        287.2030730893272        173.03058039072116       318.4770551240962
1                        185                      1                        119.52543493870851       52.71605717497174        69.77961346182072
1                        185                      1.5                      156.78325027901866       73.90311752797736        103.29404429913393
1                        185                      2                        186.67149203584648       92.76876650922853        136.04029223796073
1                        185                      2.5                      211.4177636907648        109.74998751074115       168.08510917253136
1                        185                      3                        232.3528044800021        125.15397053130988       199.47998685685263
1                        185                      3.5                      250.34195586281862       139.20898794959209       230.26659729818755
1                        185                      4                        265.9837651179386        152.09338979134554       260.4802830391111
1                        185                      4.5                      279.71110861580246       163.94930146876044       290.1509549079121
1                        185                      5                        291.84839831048976       174.8947079150763        319.3053699681811
1                        190                      1                        120.4168221236931        52.91110162431619        69.8296051794751
1                        190                      1.5                      158.23950493579804       74.26454129064102        103.39661299080187
1                        190                      2                        188.66572627093848       93.31757398864207        136.20960409312937
1                        190                      2.5                      213.91486402432926       110.49821807212764       168.33370678655712
1                        190                      3                        235.31967809013747       126.10903273203601       199.81887997486484
1                        190                      3.5                      253.74518330290437       140.37560509010365       230.70598561807265
1                        190                      4                        269.79666313474485       153.4736314729086        261.0291085162862
1                        190                      4.5                      283.90694758840255       165.5438678019137        290.8179565698605
1                        190                      5                        296.40380768014074       176.70358041595696       320.098248760763
1                        195                      1                        121.28009419808234       53.098561901871506       69.87732517362781
1                        195                      1.5                      159.6543484003727        74.61277741026834        103.49455543615113
1                        195                      2                        190.60755456241844       93.8461042681471         136.37146685773288
1                        195                      2.5                      216.3516111352377        111.22057324159677       168.57142376217644
1                        195                      3                        238.21748883185302       127.0324545901058        200.14319647698264
1                        195                      3.5                      257.07571005438894       141.50523489048027       231.12649106033524
1                        195                      4                        273.5307808220584        154.81070498332244       261.5547468157573
1                        195                      4.5                      288.018613292036         167.08927882663846       291.4567640374172
1                        195                      5                        300.8694713196795        178.45648565201063       320.8576598520258
1                        200                      1                        122.11632418004363       53.27858817289635        69.9229265141791
1                        200                      1.5                      161.02942009724353       74.94807041234108        103.5882503926982
1                        200                      2                        192.49953085753208       94.35665839027007        136.526349505655
1                        200                      2.5                      218.72930615410343       111.91812576370161       168.79898130254048
1                        200                      3                        241.04975810014082       127.92577098003096       200.45367941486234
1                        200                      3.5                      260.3337646728511        142.59850296337757       231.52942817265176
1                        200                      4                        277.1860403053272        156.10683806287494       262.058689580792
1                        200                      4.5                      292.04839398133015       168.58942592166136       292.06944232519527
1                        200                      5                        305.25061855028866       180.15883118663737       321.58651230449533
1                        205                      1                        122.92700933580953       53.452040475886974       69.96655918717464
1                        205                      1.5                      162.3671369386485        75.2715321767088         103.67797690568679
1                        205                      2                        194.34307780621774       94.84951374745563        136.67470764594896
1                        205                      2.5                      221.05083525406405       112.59291308999698       169.01707517820722
1                        205                      3                        243.8191395415837        128.79006491400358       200.7515694355005
1                        205                      3.5                      263.52266343301653       143.65728295415312       231.91601659056414
1                        205                      4                        280.76768046012785       157.36348960837648       262.5421096643573
1                        205                      4.5                      296.00004113204983       170.04337771257593       292.65748533982946
1                        205                      5                        309.5499572216122        181.81257626386855       322.28584708258995
1                        210                      1                        123.71327578982458       53.61904783079696        70.00834323827723
1                        210                      1.5                      163.66857353400218       75.58371578933273        103.76392934949703
1                        210                      2                        196.14192139284359       95.32566299994727        136.81695385928685
1                        210                      2.5                      223.3181951451291        113.24555338170188       169.22626256194707
1                        210                      3                        246.52745029635548       129.62735144798734       201.03736794877977
1                        210                      3.5                      266.6454564409404        144.6835371538928        232.28704277280715
1                        210                      4                        284.2793973036047        158.58205539074703       263.0063948494776
1                        210                      4.5                      299.8748216836749        171.45617939169563       293.22220594679106
